id,source_id,query,gold,predicted,precision,recall,f1,em,duration,error
0,WebQTrn-18,Which book written by Beverly Cleary was released before 1981?,['Q4880234'],"['Q7289943', 'Q7289938', 'Q5730697', 'Q7553026', 'Q7289937', 'Q5372006', 'Q4880234', 'Q6881032', 'Q7752511', 'Q7322438', 'Q60379752', 'Q5365032', 'Q5730676', 'Q7531227', 'Q56216467', 'Q5730695', 'Q7289942', 'Q5723398', 'Q7108828', 'Q5447420']",0.05,1.0,0.09523809523809523,0.0,89.20190215110779,
1,WebQTrn-18,Which children's novel written by Beverly Cleary was released before 1981?,['Q4880234'],['Q4880234'],1.0,1.0,1.0,1.0,93.91811156272888,
2,WebQTrn-18,Which children's fiction novel series was written by Beverly Cleary?,['Q7289900'],['Q7289900'],1.0,1.0,1.0,1.0,96.50304245948792,
3,WebQTrn-18,"Which literary work by Beverly Cleary, released before 1981, received the Vermont Golden Dome Book Award?",['Q7322438'],['Q7322438'],1.0,1.0,1.0,1.0,94.38663625717163,
4,WebQTrn-18,Which literary work by Beverly Cleary was released after 1956 and received the Vermont Golden Dome Book Award?,['Q7322438'],['Q7322438'],1.0,1.0,1.0,1.0,92.08553194999695,
5,WebQTrn-25,Which comedy film starring Taylor Lautner was released after 2009 and has a runtime of less than 122.5 minutes?,['Q19866927'],"['Q5611721', 'Q19866927']",0.5,1.0,0.6666666666666666,0.0,139.31831073760986,
6,WebQTrn-25,"Which drama film starring Taylor Lautner was released after 2009, has a runtime of less than 122.5 minutes, a box office gross of more than $224.1 million, and a budget of over $37.8 million?",['Q60487'],['Q60487'],1.0,1.0,1.0,1.0,229.00902009010315,
7,WebQTrn-25,"Which movie starring Taylor Lautner was released after 2009, has a runtime of less than 122.5 minutes, a box office gross of more than $224.1 million, and a budget of over $37.8 million?",['Q60487'],"['Q5611721', 'Q60506', 'Q60487', 'Q143716']",0.25,1.0,0.4,0.0,170.4075164794922,
8,WebQTrn-25,Which movie starring Taylor Lautner and directed by Robert Rodriguez was released before 2015 and has a runtime of less than 122.5 minutes?,['Q656357'],['Q656357'],1.0,1.0,1.0,1.0,142.23558592796326,
9,WebQTrn-25,"Which movie starring Taylor Lautner, released before 2015, is a black comedy and has a runtime of less than 122.5 minutes?",['Q656357'],['Q656357'],1.0,1.0,1.0,1.0,196.6170425415039,
10,WebQTrn-49,"Which drama film starring Jason Sudeikis was released before 2014, has a runtime longer than 95 minutes, and a box office gross of more than $64.3 million?",['Q2700629'],['Q2700629'],1.0,1.0,1.0,1.0,217.12808895111084,
11,WebQTrn-49,"Which drama film starring Josh Hutcherson was released before 2014, has a runtime of less than 111 minutes, and a box office gross of less than $653.4 million?",['Q2700629'],"['Q4185654', 'Q85968087', 'Q1455276']",0.0,0.0,0.0,0.0,256.66665148735046,
12,WebQTrn-49,"Which drama film starring Josh Hutcherson and directed by Chris Wedge was released before 2014, has a runtime longer than 95 minutes, and a box office gross of less than $653.4 million?",['Q2700629'],['Q2700629'],1.0,1.0,1.0,1.0,208.03668236732483,
13,WebQTrn-49,"Which drama film starring Josh Hutcherson was released after 2007, has a runtime of less than 111 minutes, and a box office gross of more than $64.3 million?",['Q2700629'],['Q2700629'],1.0,1.0,1.0,1.0,195.8057518005371,
14,WebQTrn-49,"Which drama film starring Josh Hutcherson, performed by Danny Elfman, was released before 2014, has a runtime longer than 95 minutes, and a box office gross of more than $64.3 million?",['Q2700629'],['Q2700629'],1.0,1.0,1.0,1.0,194.79808163642883,
15,WebQTrn-60,"Which country in Africa, specifically Mozambique, founded after 1968, has a population of more than 284,000 and an area of less than 1.0 million square kilometers, has Portuguese as a spoken language?",['Q1029'],[],0.0,0.0,0.0,0.0,416.1873517036438,
